,SummonerID,Summoner_Name,Wins,Losses,League_Points,Account_ID
236,KLvtXyVoNg9YZAtWVC3hEd1JrVryf6Xezi-uwrgiswK8vOQ,we like fortnite,71,52,29,pboWS9Z8SJGxKO-EhzzlZ3MpEOWkbIL22kCezedSGe21eQ
237,KPV31l6wTaQvHtns4pl2n86SamwoyzOvT8gUL3V3oVPj57M,2Dimes,162,144,101,tGt0EWGeK_KciwsKmdzCgozwVcy5HMw-Yzo9gqIzuhwfVg
238,KPih_1N3tUdr5AeiHv8xMtAxGJ90--RqMT2UZAlvWS7DK9s,Kim Down,157,143,0,Zv87rEfciU-Auq5RZY3fboJIKfxqqmouDI-SSQbH1xHY6QQ
239,KRaJyLThNs8zXvwTRjIoseFri2O2S6KFfbaypBbU7JfvswU,Rainshovel,125,109,46,Emtj0ERMm8iePHxCNOZhx5llKVq6G65tdtHSQOLGN7dwqw
240,KSi0eNpzIL4mpiz7AITBmlp7XnFhf0_kAaPEGSGJLA2agKo,Dragoonsmash,148,135,64,Yt8MoXmakH-HtseNH6B7GbHjRLaL5DmpXTT6ZzrofAAUEk0
241,K_jDKqvqIvnKpkIR7lDGDyEVd7nejTL1shHbimHaXlWYE28,ımportant,61,49,33,OLA3bqU7xydTVm4Yah8EyGSFfiE_Zbbb9ESreUT_UXPqeEf35exBXjeU
242,KgnFs7nWaPyGvk2xkPv5eDz6KydpHAaEOldjHqw1qz6aEwM,Aetherial,76,50,77,okfSuV9SkZLNBiw7pHa94nCPtKKuK3VpggxcQ1T15iz-DQ
243,Kjw6MBunfUYKh_42Uy5OJB9jxIaZXz_zH15vgvhW2mqxOLU,I have to win,101,60,60,_vn_qtcue--fyBJvibbzQmdJKTR7jHI9plQiDS0Bm9TU7A
244,KmJYqiZ9R1MrKYWwxMl6k0zadf7vbxIEvMqEeOpsjbhuJkM,FREE MODX TWITCH,72,44,35,o4rXCOQzIQpPiCFQZNw-FsgtM7tFL3XVbSA1EV9gfAMyvHc
245,KnoxGmoh2U9rp5tgGDY4Ectc51REcgC4gpEVeU_AwZ-3MVk,Trinityyy,224,197,110,VNbGO2YKJ4VlmzFuXeIH60ZpTNfBPaUN0U01vyIvyBE2LA
246,Kq5CDznhJOS4_ZFlc0wEN_x2TFPE72f8y9vS2EJobeOuN5c,NoRscn,125,112,41,p880tFLnq9EXk-veNGcT5wGlBlpECyZ6zbRVRArgY7YYPQ
247,KsmQhvcSTGh6LkDiC-YRNhbs110SeMHg4XxUbEbjAmMQ8-s,ToLoToLo,152,129,54,F2-RIJW-55jLB-xRRQzZSonMdQWsPLZ5VVxiODCSNIkZQpk
248,Ktcgwd5hZCBWjLdK3hiZ5MMrUgqskikhgPq1trTfyio3NCU,Rime,114,99,23,eb4Pwgk-9uUKLTOR9acs99LPuWpgEAKOCRBeQPAfe88tENo
249,Ku-hIWbtq2ajWxmTMNv3YSs55v8Yh2BeYyWgexGNXO7nz_c,Str1fe,84,71,111,D9XNurW9QkFsWovJcOqqwaj58z770EAu6-rKgFf3I5Q6pQ
250,KyFM3k76yBTzgVjbFngtHwMWcpbnP2vaB5r_gPRr-alFfJw,HotSexyBoiii Rs,106,68,139,Yhm6I7dPifsxx9IM81OL1Bd6ZBqzm02PpDTXDwQn64QHdUA
251,L1GHRT8UY9c4HlSsReCHR3mLdBnd2HcP01aFL_jx_Lm1bg4,VALUE247,92,54,38,2clSnyyLGa34RaATfmG474BIDGVn14X7IJ0Kx6GJaWmxbAyyLVDp6WaL
252,L87zUk5fcX5LvPD7s19929mvpznpmPmx9IZmewtnhxGsfTU,ElFlacoo,134,113,63,NQciUdRGHz4tbRCCUDxW6-3gt7xvD2LNfZcEnz8P_cMUmJ4
253,L97lq2gwxkY0SbeJezb-0VBz5Pek0Pc_4Jg1KPyCBhBYOv8,Tempacy,170,122,22,z_bAnsv86LlidKojkyUwwS7vJNl7-84UsdBYfl88UxCRHIWv7jPUmQIa
254,LFvixQKvn5kepjeKwRbPLbB65-GyRBRInXBPXlGlQysxnfk,Tilted,84,62,42,_X72k3DECpQzWvM6Nkw3fBijX3nQdcJVfrsPQ3_A5kNtJg
