,Lane,GameID,Champion
1812,BOTTOM,3015684681,25
1813,TOP,3015665593,15
1814,BOTTOM,3015635559,25
1815,NONE,3015986943,45
1816,NONE,3015991238,13
1817,BOTTOM,3015689284,16
1818,NONE,3015634493,101
1819,NONE,3015605052,101
1820,BOTTOM,3015911670,497
1821,BOTTOM,3015885963,497
1822,JUNGLE,3015641836,141
1823,BOTTOM,3015173550,25
1824,TOP,3014608489,85
1825,BOTTOM,3015270820,145
1826,BOTTOM,3015244791,3
1827,BOTTOM,3015218464,16
1828,BOTTOM,3015203441,145
1829,NONE,3014226082,7
1830,NONE,3015932650,43
1831,JUNGLE,3015717438,17
1832,MID,3015703214,18
1833,NONE,3015698338,55
1834,TOP,3015672749,67
1835,TOP,3015906549,83
1836,BOTTOM,3015859443,18
1837,BOTTOM,3015854605,18
1838,TOP,3011536955,31
1839,TOP,3011552585,31
1840,MID,3015930833,142
1841,MID,3015879993,142
1842,MID,3015821294,142
1843,MID,3015813639,7
1844,MID,3015767932,142
1845,TOP,3015665227,86
1846,MID,3015614858,26
1847,MID,3015527622,268
1848,MID,3015027526,163
1849,TOP,3015021027,126
1850,BOTTOM,3015303363,89
1851,JUNGLE,3015255557,18
1852,MID,3015226085,89
1853,BOTTOM,3015217650,267
1854,TOP,3014270780,89
1855,TOP,3015678609,86
1856,BOTTOM,3015671275,43
1857,TOP,3015661612,19
1858,BOTTOM,3015623309,67
1859,BOTTOM,3015583676,107
1860,NONE,3013954509,202
1861,BOTTOM,3013351339,236
1862,MID,3013205307,41
1863,BOTTOM,3012571325,236
1864,NONE,3012489909,42
1865,MID,3986945150,81
1866,NONE,3986888423,119
1867,BOTTOM,3986839778,30
1868,BOTTOM,3986810271,222
1869,BOTTOM,3986804184,145
1870,MID,3015731788,91
1871,TOP,3015717354,91
1872,NONE,3015723110,91
1873,TOP,3015684681,91
1874,NONE,3015667299,91
1875,NONE,3015571461,145
1876,NONE,3013565495,25
1877,BOTTOM,3013556793,67
1878,BOTTOM,3013532590,67
1879,BOTTOM,3013526205,81
1880,JUNGLE,3015357264,141
1881,NONE,3015361999,120
1882,NONE,3015337419,28
1883,JUNGLE,3015320730,120
1884,JUNGLE,3015281818,121
1885,MID,3013177675,1
1886,MID,3012359532,1
1887,NONE,3010814707,1
1888,MID,3010797109,1
1889,TOP,3010774555,1
1890,BOTTOM,3015940919,16
1891,NONE,3014268737,16
1892,BOTTOM,3014253365,16
1893,TOP,3014058363,10
1894,TOP,3014017852,10
1895,JUNGLE,3015757592,518
1896,BOTTOM,3015744766,518
1897,JUNGLE,3015750014,80
